username,datetime,tweet_text,replies,retweets,likes
ً@jjangzkart·1h,2023-08-03T10:43:41.000Z, ⋆ᱸ . . wts lfb ph ꒰ #jjangzsells ꒱    hanni iphone set ♡    ₱280 set    PAYO (prio) / 3 days 🂱 dm to claim !t. newjeans haerin hyein dani minji danielle omg bluebook weverse wev a b c first ep bucket hat wink photocard asap eta bunnies camp beach bag get up pc,1,18,
Abhishek Singh@AbhishekMarkets·5h,2023-08-03T06:24:52.000Z,iPhone 12 Pro Max & Nothing Phone 2:- Same Size- Similar widthBut. Phone 2 is:- More comfortable to hold- Light weight,3,,42
mai (CEO of getting s worded)@ranpookiie·14h,2023-08-02T21:39:55.000Z,"elon musk when he sees i still have twitter as twitter on my iPhone X (i repeat. iPhone ""X"")",,,4
ska@kofisikaa·3h,2023-08-03T08:19:59.000Z,iPhone 13 128gb FACTORY UNLOCKED 89%Gh¢6999.99Dm/call/WhatsApp/iMessage 0504988015,,9,19
AISHAH _BABY@Aishah_Babby·5h,2023-08-03T06:55:16.000Z,Have you lost your iPhone 13pro nd bought it back 60k?  I'll be right back ,9,118,114
Social media Manager@Katambulajulie3·1h,2023-08-03T10:03:57.000Z,iphone 14 pro max128gb at 4.55mContacts : 0779839540                    0754058934Location : kisa kya Maria building along William Street .opposite Gazaland Shop no K324  @EsauNiwaha234,5,7,13
GTpharouq | LordGT@GT_pharouq1·6h,2023-08-03T05:36:22.000Z,IPhone 7... time for some camera tests lol.,,,4
Dinidu Perera@nunu10000·7h,2023-08-03T04:31:54.000Z,Apple has intentionally made it that way. Microsoft (back when they made phones) and Google agreed to use RCS (an open standard) to improve upon MMS. Apple has REFUSED to add RCS support to iOS:,,2,9
Cosmic@CosmicRa1n·10h,2023-08-03T01:17:18.000Z,The Best Sideload Methods (install .ipa's) On iPhone & iPadhttps://youtu.be/U8R6CzeyisI,,7,49
Ivonne@servoisnaked·11h,2023-08-03T00:36:49.000Z,I got a new iPhone 13 as an early present for my Birthday later this month. Decided to try it out on LWTL and wow. I’m definitely going to be taking more videos now.,6,1,39
Jinja's Pablo Escobar@Ozelle_Kayom·18h,2023-08-02T17:07:36.000Z,That Range Rover is equivalent to an iPhone 8 . He should just accept the apology and move on,25,35,203
lian@cprlian·21h,2023-08-02T14:58:22.000Z,ppsmb day 3 — my iphone was rest in peace alias matot,1,1,7
Smartprix@Smartprix·1h,2023-08-03T10:10:44.000Z,iPhone 14 vs iPhone 13: Will you wait for iPhone 15 or pick any one of them? https://smpx.to/vASP7z #Apple #iPhone #iPhone14 #iPhone13,1,2,56
Nyashpro@nyashpro_·7h,2023-08-03T04:53:43.000Z,Sugar mummy or iPhone 14,43,85,296
Avvarhh@Avvarhhh·1h,2023-08-03T10:18:06.000Z,Are you interested in making money by playing Sure odds Click on the link below to join my channel https://t.me/+-TgDPGYBeDI2Yjhk…GOLIATH HAS FALLEN  Ronaldo protests NYSC Africa Bella Eniola  The Nigerian Malo Gusto Abuja  Apple iPhone 14 Port Harcourt Bella The NLC,2,75,81
Rick Aqua on Youtube  @true_RICK_AQUA·4h,2023-08-03T07:14:59.000Z,How to prevent a thief from easily stealing your iPhone#iphonetips #iphonetricks #iphoneusers,1,24,33
Janet Machuka@janetmachuka_·1h,2023-08-03T10:38:50.000Z,Apple users be like: “I don’t own a smartphone. I own an iPhone.”“I don’t own a laptop. I own a MacBook.” The rest what do you say,16,8,55
Apple Cycle@theapplecycle·Aug 2,2023-08-02T10:30:12.000Z,The iPhone 15 Pro will get super thin bezels!Foreground: iPhone 15 ProBackground: iPhone 14 ProConcept: @theapplehub,39,125,1392
b@soolestials·4h,2023-08-03T07:28:26.000Z,the same knetz who harass and bully female idols for having an iphone and not a samsung want to talk about misogyny ,,46,205
kirim menfess lewat tele@cuitantheboyz·2h,2023-08-03T09:59:01.000Z,Ctbz perjalanan kerusakan dari iphone 13 oleh kim sunwoo,19,228,567
Zig@Kaguya__02·10h,2023-08-03T01:17:51.000Z,All I know is the next phone I buy will be either an iphone or a pixel because I do NOT like all this bloatware,5,,9
Jason Kingsley@im_jsn328·22h,2023-08-02T13:44:38.000Z,Happy August. As the hottest month of the year. I want to have the hottest giveaway. I will be giving away two carrier unlocked iPhones.For followers. iPhone 12 Pro.For Subscribers. iPhone 14 Pro MaxTo enter- Follow. Retweet. and Comment as many times as you want. the more… Show more,4,5,6
Aaron Zollo@zollotech·19h,2023-08-02T16:39:00.000Z,iPhone 14 Pro Max is holding strong at a ridiculous 90% battery health. Never had it drop below 100% at this time in the year.,542,193,2909
Muverse@MuverseNFT·23h·,2023-08-02T12:48:53.000Z,Wow! Muverse Fam!We are thrilled to announce that our massive Muverse anniversary Tesla &amp; iPhone Airdrop is now kicking off! Download  http://muverse.info Rules https://bit.ly/3QmEeXWLet's get fired up!Right now. no hesitation. purchase lucky… Show more,159,916,711
Just Juliette@SussexDetective·21h,2023-08-02T14:31:42.000Z,Do you know how rich you have to be to just have an iPhone without a phone case,76,181,1863
B.O.D@Bod_repuplic·22h,2023-08-02T14:00:42.000Z,iPhone of 1 Million Naira no dey use SIM.,10,4,29
Asif Ashraf@ItsmeAsifAshraf·20h,2023-08-02T15:43:34.000Z,Moonshot by iPhone 14 Pro Yes We can…#Moonshot,2,,7
Resonant News@Resonant_News·3h,2023-08-03T09:00:02.000Z,Apple plans to produce 15 million iPhone 15 units this year in India.Apple wants to diversify the “Assembled in China  ” brand into more locations. and the company intends to produce at least 20% of the iPhone 15 in India.  Nikkei Asia,,6,12
Efy@hotmomeffie·14h,2023-08-02T21:44:51.000Z,Sugar mummy or PS5 and iPhone? ,10,30,366
JuicyJulio@Julio_tnim·6m,2023-08-03T11:55:31.000Z,Gm photographers. creators & collectors I M P E R M A N E N C EToday is my first & only OE drop for 2023 & it goes live at 3:30pm EDT/12:30pm PDT!Don’t miss the drop party space too (link) where there’ll be giveaways & me screaming/crying -Shot on iPhone XR-,3,2,3
onejailbreak@onejailbreak_·3h,2023-08-03T08:51:33.000Z,Posi0nKFD allows you to customize iOS 16.5 and lower. offering features like hiding the Dock and Home Bar. enabling iPhone 14 Pro Res. and even allowing you to use custom fonts. Based on KFD! No jailbreak required. https://onejailbreak.com/blog/posi0nkfd/by @GenericCoding#jailbreak… Show more,4,9,30
† JUGGERNAUTTBRAH@dontrece_hd·18h,2023-08-02T17:09:43.000Z,The forbidden fruit is in the back of every iPhone You can have all the tree of knowledge good evil In a click of a button,2,4,73
Tech Score@TechScoreNY·14h,2023-08-02T21:35:49.000Z,Dude wasn't giving up  #iphone #robbery #apple,,1,7
ImConfess On Kick@___Confessed·15h,2023-08-02T20:03:23.000Z,NEW MONTH IS HERE! The Month of August is going to be HOT so I’m doing a chill giveaway.If we as a community can surpass 1.000 Subscribers. A Lucky Subscriber will be picked to win one of these three prizes.1. PlayStation 52. IPhone 11 Pro Max 3. PS5 controller,1,3,7
新宿のiPhone買取なら【クイック新宿南口店】@shinjukusouth7f·3h,2023-08-03T09:00:01.000Z,/毎日1名様に当たる #RTキャンペーン\#Amazonギフト券 1.000円分▽応募方法①@shinjukusouth7fをフォロー②この投稿をリツイート▽締切8/4の 23時59分まで▽抽選当選者にDMが届くhttps://cutt.ly/shinjuku_kaitori…#リツイートキャンペーン#プレゼント企画#iPhone買取#iPhone,19,341,95
Mr Android FHD@android_fhd·3h,2023-08-03T08:17:03.000Z,Here is a quick video showing app opening and closing animation on the Galaxy s23 ultra and the iPhone 14 pro. I just wish samsung improves the overall animations with the upcoming one ui 6.,4,1,11
なめこ@araratoarere·5h,2023-08-03T06:39:44.000Z,224g 202g 最近の悩みはにピントが合わないことがんばれ私のiPhone。,3,19,347
Chandradatt Jagdeo   @ChandradattJag1·12h,2023-08-02T23:28:34.000Z,Loving the switch to iPhone Campus life returns this September ; see you then UG!,,,16
Highest@TechHighest·2h,2023-08-03T09:08:23.000Z,Apple innovated with the app store but not with touchscreen phones. There were many touch screen phones that were in development at the same time as the IPhone that came before and after it (LG Prada and Samsung F700 are two examples),1,1,12
Shishir@ShishirShelke1·19h,2023-08-02T17:00:09.000Z,Camera Comparison - Nothing Phone (2)- OnePlus Nord 3- OnePlus 11- iPhone 131x low-light shot,8,2,154
Uncle Howdy Kendrick@Corey5771·10h,2023-08-03T01:31:34.000Z,Nick Wayne unlocking his iPhone for TMA:,,1,5
Khaleed @KhaleedSZN·19h,2023-08-02T16:43:09.000Z,iPhone charger don leave 7k enter 10k lmaoooooooooo,27,24,242
アイ・オー・データ機器(公式)@io_data·9h,2023-08-03T03:01:27.000Z,／夏休み到来旅行準備はコレでばっちり!マクセルコラボ #プレゼントキャンペーン＼iPhoneの「探す」に対応！紛失防止タグ(2つ)&万が一に備えるモバイルバッテリーをセットで1名様に #プレゼント応募方法①@io_data と @maxellJP をフォロー②この投稿をRT応募締切8月10日(木),42,"4,418",1109
9to5Mac@9to5mac·23h,2023-08-02T12:53:50.000Z,We're about a month away from iPhone 15. How are we feeling? ,174,157,1911
Man of the Trenches@balzayo_·18m,2023-08-03T11:44:19.000Z, iPhone XS Max 256gb | Factory Unlocked | Mint condition | 100% battery health | No Face ID  | Phone only - #210.000,,,2
Memphis @Matthew08450011·8h,2023-08-03T03:13:52.000Z,Iphone sef get that software glitch.  especially the 13 series.  I updated my 13 pro max to iOs 16.0.3 and my screen turned into full white.A lot of people have been complaining this issue...,1,1,2
GideonOGC@GideonOGC·8m,2023-08-03T11:54:19.000Z,Shot with iPhone 8 Plus @Apple @MarianoEsbri @TheMayorOtu @ngphotogshub @fmsahbaz @Lightroom #photography #Chelsea,,,2
🅳🆈🅻🅽@DylanMcD8·8h,2023-08-03T03:08:35.000Z,Finally got this really special device iOS and running: iPhone 6 running iOS 8.4!Can’t get it to connect to WiFi though. even though it shows all the networks… any ideas?,6,2,23
Buzz@buzz_comdot·18m,2023-08-03T11:44:04.000Z,コムドット メンバーシップ限定動画公開されましたね〜悩まれている方は8月だけの加入も大変お得かと・8月は最低5本のメンシプ動画が配信される・過去のメンシプ動画、blogも全て見れる・BB5の新作グッズ先行販売が8月中にくるかも！？→不確定iPhone で490円加入する際のブラウザ版URL☟… Show more,,3,30
Kai Aras@ka010·Aug 2,2023-08-02T11:56:43.000Z,Artifacts for iPhone almost ready!,2,7,25
Muverse@MuverseNFT·2h,2023-08-03T09:20:46.000Z,Degens The first iPhone draw is just around the corner! Time's ticking. and you've got just less than three hours left to jump into today's thrilling airdrop! Don't wait any longer. grab your chance now! Let's find out who's gonna be the lucky bird to win… Show more,3,21,31
TURBOTOADS @TurboToadsNFT·16h,2023-08-02T19:27:33.000Z,Sorry we’ve been fairly quiet on here……mostly because an iPhone Pro Max 12 is twice the size of our toad bodies. so we ain’t carrying it around everywhere like you degenerates.,5,2,24
Dr. Jayesh Thaker@JThakers·16h,2023-08-02T19:57:52.000Z,OMG what a expose  #LiveFeed. abb mandbuddi jeevi aayege comment main bolenge puri clip dalo subah se lekar sam tak ki live.sorry Bhai mere pas 1TB ka iPhone nahi hai#BiggBossOTT2,178,708,1236
Muverse@MuverseNFT·1h·,2023-08-03T10:36:35.000Z,Want to score a free. cool iPhone 14 ProMax? Take action now. use $MCT to purchaselucky numbers for the airdrop!This awesome iPhonewill be delivered right to your doorstep! Make it happen. join the fun now! #WEB3 #Crypto #muverseairdrop #muverse #iPhone… Show more,8,14,24
Enock 𝕏@Prince__Enock·4h,2023-08-03T07:23:16.000Z,Your own hommies no chop but you go buy iPhone 14 give your woman Vim paa,7,23,54
ˢ🅚ᴵᴾᴾᴱᴿ@skppre·15h,2023-08-02T20:15:55.000Z,this could be us but huna iphone,3,7,89
talia@TaylerHills3·10h,2023-08-03T02:01:31.000Z,iPhone 15 or Netflix and Chill?https://t.me/+g6vNiqymuIpiZmZh…,144,236,6312
M B Patil@MBPatil·Aug 2,2023-08-02T11:14:44.000Z,Karnataka Govt. signs a Letter of Intent (LOI) with Foxconn. paving the way for two groundbreaking projects with an investment of Rs. 5.000 crore in addition to the ongoing Rs. 14.000 crore iPhone Manufacturing project.Recently met the CEO and Chairman of Hon Hai Technology… Show more,38,156,1002
† lucia scarlet @luciascarlet·9h,2023-08-03T02:05:48.000Z,The iPhone 16 Ultra will be Soft and squidgy and made of . Foam,18,8,100
Tech & Sports@Techsports8·22h,2023-08-02T13:02:54.000Z,Day out at the garden centre shot on iPhone 14 pro.,4,,10
LisjusticeVtuber@NarwhalQueenLis·17h,2023-08-02T18:14:57.000Z,So i goofed up again and the iphone didn't charge SOOOOOOOO hahahahaha! Gonna be either really late or cancelling!! T^T I'm sorry please don't be mad at me!!!!!,1,1,20
Alvin@sondesix·5h,2023-08-03T07:00:21.000Z,Samsung Display begins mass-producing OLED display panels for the iPhone 15 series.Apple approved Samsung Display to produce the panels ahead of LG Display and BOE.,14,23,396
Dhananjay_Tech@Dhananjay_Tech·5h,2023-08-03T07:01:51.000Z,It's 2023 & to activate iMessage it takes Rs 5! & we have to do a special recharge to get this activated if you are using prepaid unlimited plans.Aren't there better & cheaper ways to verify sim card authenticity!!!!#Apple #iPhone,16,6,84
Lucia@Cutebbby_·14h,2023-08-02T21:21:26.000Z,Netflix and fvck with sugar mommy or the iPhone 14?,5,22,124
ain | #casingcutecasesbyazza@syazaaing·5h,2023-08-03T06:09:19.000Z,Casing cute kat Pasar Seni Kuala Lumpur weekend ni  Booth No 33 4-6th August | 10am-8pm Rm15-Rm25 iPhone 7-iPhone 14 Pro Max,2,42,56
Michael@MichaelBTech·14h,2023-08-02T21:29:30.000Z,Because iMessage. AirDrop. and FaceTime are only useful if everyone else has an iPhone.,33,38,1615
Grávida do Ano @gravidinha_·21h,2023-08-02T14:58:45.000Z,eu ou um iPhone?,95,45,1687
#TheOutpouring@DunsinOyekan·19h,2023-08-02T16:29:27.000Z,#OGO is out now on Apple Music. iTunes  Et al. Go cop it now! Where are my iPhone users??? Let's go!,27,383,1538
Nimi Pamela@nimipamela0·16h,2023-08-02T19:23:35.000Z,Don't worry guys. when l buy an iPhone l will be blessing your eyes everyday,11,14,57
caroline@strangerdeans·Aug 2,2023-08-02T11:59:10.000Z,I KNOWWWWW HE HAS THE EXTENDED CUT ON HIS IPHONE,4,25,138
InfraStory@marinebharat·3m,2023-08-03T11:59:21.000Z,Welcome Govt of India decision to ban import of laptops. tablets. computers. Should have added mobiles too.Make In India. Make for India & the world. If not. then leave!Tweeting this from Made in India iPhone 13,5,3,28
Name@Name3828429·Aug 2,2023-08-02T10:20:31.000Z,Pixel small full screen navigation bad. Samsung lil biggie. iphone kinda big. miui:,7,,8
August@stars4August·22h,2023-08-02T13:48:09.000Z,Keith is a dedicated android user and Lance iPhone But Lance bullies Keith about his green text bubbles and more trying to get him to switch,1,1,51
Big Fish@256_fisherman·18h,2023-08-02T17:13:28.000Z,Cindy doesn't force anything. her voice is natural & original.Fake iPhone can never do this.,1,5,10
demian@demian101101·38m,2023-08-03T11:23:55.000Z,Warm afternoons in Puglia Bari. Puglia and Polignano a Mare. all shot and edited on an iphone 12#iphoneshots,,1,3
Caroline “WGA Captain on Strike” Renard@carolinerenard_·14h,2023-08-02T21:02:42.000Z,This is for the next person who tells me Sean shot his movie on an iPhone but they fail to mention the movie still was made for $100K and backed by the Duplass bros. Who got 100K like that?,,13,62
poIIie@adcfgidle·1m,2023-08-03T12:01:11.000Z,all the (g)irls are now team iphone iktr ,,,
