username,datetime,tweet_text,replies,retweets,likes
Benjamin Bennett Alexander@RealBenjizo·Jul 25,2023-07-25T17:59:15.000Z,Python Question;Happy Tuesday.What is the output of this code. and why?,62,63,444
Nelson Djalo | Amigoscode@AmigosCode·6h,2023-07-28T08:25:58.000Z,DevOps as a Burger (DaaB)1. Acquire proficiency in at least one programming language (e.g.. Python. Go) to write automation scripts.2. Master operating systems (e.g.. Linux) and their command-line interface (CLI).3. Become adept at managing web servers. including… Show more,,29,106
Jennifer@fivi187·Jul 25,2023-07-24T23:59:26.000Z,Day 34 … Morning coffee to start off my day  #Python #100DaysOfCode #100daysofcoding #100daysofcodechallenge #40yearswoman #techtwitter #womenintech #WomenWhoCode,11,2,71
Michael Warburton@MichaelWarbur17·3h,2023-07-28T12:10:38.000Z,“That’s no ordinary Rabbit!”MONTY PYTHON AND THE HOLY GRAIL (1975),4,19,131
Afiz @itsafiz·2h,2023-07-28T12:56:39.000Z,Object Oriented Programming in PythonMethods in Python (with code snippets)In this thread. we will discuss 3 types of methods with examples1. Instance2. Class 3. Static A Thread ,3,29,115
Python Coding@clcoding·Jul 23,2023-07-23T10:57:00.000Z,Mathematical functions using Python,9,405,1808
MetroBoomin@polo_kimanii·8h,2023-07-28T06:25:50.000Z,This is a millepede in kilifi.size ya screw driver buana.almost thought it was a python nikawachilia nduru,58,70,496
Kirk Borne@KirkDBorne·12h,2023-07-28T03:16:16.000Z,Download free 378-page PDF >> Beginning #Python Visualization: https://pyoflife.com/beginning-python-visualization-crafting-visual-transformation-scripts/… via @Parajulisaroj16 ————#Infovis #DataViz #VisualAnalytics #DataStorytelling #DataScience #Coding #DataScientists #BigData #Analytics #Design #DataLiteracy,3,193,621
Christian Dean Demesa@DyslecixDev·14h,2023-07-28T01:21:38.000Z,Day 37 of Python! Been a while since I posted a video. but I'm happy to showcase my scuffed GitHub commit tracker  #Python #100daysofcodechallenge #github,,,4
Humans Are Metal@HumanAreMetal·Jul 24,2023-07-24T15:43:19.000Z,Capturing a python,2,12,131
Python Coding@clcoding·Jul 27,2023-07-27T07:22:00.000Z,Python Program to get details of an element by atomic number,8,132,635
Data Science Dojo@DataScienceDojo·Jul 23,2023-07-23T18:04:01.000Z, A list of Python libraries and frameworks!Source: data_code_learn#Python #DataScience,11,286,1142
PyQuant News @pyquantnews·14h,2023-07-28T00:27:15.000Z,I love Python.But it's slow.So I built an options pricing library in C and call it from Python.Here's a step-by-step guide to 45x the performance of your Python code with C:,5,37,251
Shalini Tewari@maybeshalini·Jul 24,2023-07-24T12:39:17.000Z,Complete FullStack Developer Roadmap[With Resources To Learn + Jobs]Step 1 → Learn HTML CSS and JSStep 2 → Learn Git and GitHubStep 3 → Learn Frontend Frameworks [React Recommended]Step 4 → Learn Nodejs - PythonStep 5 → Learn Backend FrameworksStep 6 → Learn… Show more,89,"1,016",3010
Sabrina@sabrinaesaquino·3h,2023-07-28T11:42:44.000Z,you can build ANYTHING with python and coffee,13,8,92
Sharyph@sharyph_·Jul 27,2023-07-27T04:00:04.000Z,Learn Data Analytics for Free:SQL → http://sqlbolt.comExcel → http://excel-practice-online.comTableau → https://mydataroad.com/how-to-create-effective-data-visualization-using-tableau/…Python → http://pythontutorial.netData analysis → https://goldsuite.gumroad.com/l/jgrmaBigQuery → http://cloudskillsboost.google/quests/123Statistics → http://youtu.be/xxpc-HPKN28,32,507,1077
Star Consulting - LLC@zstarconsulting·Jul 26,2023-07-25T23:00:01.000Z,Python libraries & frameworks,,7,173
Sami Nas @digitalhealthxx·3h,2023-07-28T11:43:17.000Z,What are the Best #AI Tools for #Students in 2023#ML #Python #GenerativeAI #ChatGPT #Cloud #Blockchain #WEB3 #5G #IoT #MachineLearning #Analytics #Python #GenerativeAI #ChatGPT #Robotics #ehealth #Technology #Robots #DataScience #CloudComputing #Robotics #VR #Bigdata… Show more,3,6,18
Biafra Libration@ROZ_BIAFRAARMY·Jul 24,2023-07-24T01:39:50.000Z,33 ZOOO PYTHON SENT TO JUDGMENT.6 IFEANYI UBA'S TOADS SENT ON AN ERAN TO HELL.3 EBUBEAGU SAME HELL. SIGN ROZ B.L.A,23,328,549
Benjamin Bennett Alexander@RealBenjizo·Jul 26,2023-07-26T19:03:03.000Z,Python Question;What is the output of this code. and why?,28,53,411
,,,,,
Data Science Dojo@DataScienceDojo·Jul 23,2023-07-23T18:04:01.000Z, A list of Python libraries and frameworks!Source: data_code_learn#Python #DataScience,11,286,1142
PyQuant News @pyquantnews·14h,2023-07-28T00:27:15.000Z,I love Python.But it's slow.So I built an options pricing library in C and call it from Python.Here's a step-by-step guide to 45x the performance of your Python code with C:,5,37,251
Shalini Tewari@maybeshalini·Jul 24,2023-07-24T12:39:17.000Z,Complete FullStack Developer Roadmap[With Resources To Learn + Jobs]Step 1 → Learn HTML CSS and JSStep 2 → Learn Git and GitHubStep 3 → Learn Frontend Frameworks [React Recommended]Step 4 → Learn Nodejs - PythonStep 5 → Learn Backend FrameworksStep 6 → Learn… Show more,89,"1,016",3010
Sabrina@sabrinaesaquino·3h,2023-07-28T11:42:44.000Z,you can build ANYTHING with python and coffee,13,8,92
Sharyph@sharyph_·Jul 27,2023-07-27T04:00:04.000Z,Learn Data Analytics for Free:SQL → http://sqlbolt.comExcel → http://excel-practice-online.comTableau → https://mydataroad.com/how-to-create-effective-data-visualization-using-tableau/…Python → http://pythontutorial.netData analysis → https://goldsuite.gumroad.com/l/jgrmaBigQuery → http://cloudskillsboost.google/quests/123Statistics → http://youtu.be/xxpc-HPKN28,32,507,1077
Star Consulting - LLC@zstarconsulting·Jul 26,2023-07-25T23:00:01.000Z,Python libraries & frameworks,,7,173
Sami Nas @digitalhealthxx·3h,2023-07-28T11:43:17.000Z,What are the Best #AI Tools for #Students in 2023#ML #Python #GenerativeAI #ChatGPT #Cloud #Blockchain #WEB3 #5G #IoT #MachineLearning #Analytics #Python #GenerativeAI #ChatGPT #Robotics #ehealth #Technology #Robots #DataScience #CloudComputing #Robotics #VR #Bigdata… Show more,3,6,18
Biafra Libration@ROZ_BIAFRAARMY·Jul 24,2023-07-24T01:39:50.000Z,33 ZOOO PYTHON SENT TO JUDGMENT.6 IFEANYI UBA'S TOADS SENT ON AN ERAN TO HELL.3 EBUBEAGU SAME HELL. SIGN ROZ B.L.A,23,328,549
Benjamin Bennett Alexander@RealBenjizo·Jul 26,2023-07-26T19:03:03.000Z,Python Question;What is the output of this code. and why?,28,53,411
K H O L O U D (!fattem)@Kholoudxs55kh·Jul 26,2023-07-26T02:02:06.000Z,"Started from "" 21. Let's draw it"" Task in #ALX. Now here :D  well. python is my favourite these days :))) ",5,6,48
Jennifer@fivi187·14h,2023-07-28T00:26:21.000Z,Day 35 … Practicing the basics in a project caller Battleship. still struggling with some things but we can do it  #Python #100DaysOfCode #100daysofcoding #pythonprogramming #100daysofcodechallenge #40yearswoman #techtwitter #womenintech #WomenWhoCode,5,1,52
Arduino Updates@Arduino24x7·Jul 25,2023-07-25T14:17:47.000Z,How many can you name?#esp32 #arduino #python #raspberrypi #rpi #nvidia #microcontroller,28,124,719
Python Space@python_spaces·Jul 24,2023-07-24T13:24:17.000Z,Python Data Structures Cheat Sheet  Save it for later. it comes very handy! ,3,125,440
Terrifying As Fuck@TerrifyingAsfuk·Jul 26,2023-07-26T10:57:54.000Z,Python trap using live chicken,5,30,234
Nilofer @Nilofer_tweets·Jul 27,2023-07-27T02:55:32.000Z,Learn for FREE in 2023!  1.Pythonhttp://pythontutorial.net 2.JavaScripthttp://learnjavascript.online 3.SQLhttp://sqlbolt.com 4.Githttp://atlassian.com/git/tutorials5.HTMLhttp://w3schools.com 6.CSShttp://css-tricks.com,5,202,458
NEAR Protocol@NEARProtocol,,#NEAR takeover at #ETHCC with #BOS! Join us at the Museum National D’Histoire Naturelle for two full days of July 16-17th on RUST. Java-SDK and Solidity jamming !Read more about it here - https://near.org/blog/near-at-ethcc-step-into-the-open-web-on-the-bos/?twclid=2-6bxvfdqrezh4b4txpc1gqktya…RSVP here: https://bit.ly/3qLjePR?twclid=2-6bxvfdqrezh4b4txpc1gqktya,130,378,3919
BowTiedCyber | Cybersecurity Educator@BowTiedCyber·Jul 26,2023-07-26T22:26:56.000Z,$90K IN 90 DAYSYour BULLETPROOF Cybersecurity Career Roadmap• Network+ 30d• Security+ 15d• AZ900 2d• Splunk Core  5d• Linux 7d• Python 7d• Traffic Analysis 7d• ePortfolio 7d• 1000 Job Apps 10dStart your Cybersecurity Career in 90 Days!Check the roadmap!,12,445,1125
Dr. Milan Milanović@milan_milanovic·Jul 27,2023-07-27T06:04:28.000Z,𝗗𝗲𝘃𝗢𝗽𝘀 𝗮𝘀 𝗮 𝗕𝘂𝗿𝗴𝗲𝗿 (𝗗𝗮𝗮𝗕)What should the DevOps engineer roadmap look like:𝟭. 𝗟𝗲𝗮𝗿𝗻 𝗮 𝗽𝗿𝗼𝗴𝗿𝗮𝗺𝗺𝗶𝗻𝗴 𝗹𝗮𝗻𝗴𝘂𝗮𝗴𝗲 (Python. Go. ...) to write automation scripts𝟮. 𝗠𝗮𝘀𝘁𝗲𝗿 𝗼𝗻𝗲 𝗼𝗽𝗲𝗿𝗮𝘁𝗶𝗻𝗴 𝘀𝘆𝘀𝘁𝗲𝗺 (Linux) and its… Show more,57,"1,198",5385
Python Space@python_spaces·Jul 27,2023-07-27T12:20:09.000Z,Microsoft is offering Data Science for Beginners course for FREE!This course all the necessary fundamentals of Data Science and Deep Learning. Course link ,1,230,843
Michael Warburton@MichaelWarbur17·Jul 23,2023-07-23T08:56:21.000Z,“I told you. We're an anarcho-syndicalist commune.”MONTY PYTHON AND THE HOLY GRAIL (1975) #GrahamChapman #MichaelPalin #TerryJones,11,88,352
James Wagner@James_Wagner_·8h,2023-07-28T06:56:03.000Z,Day 208 of #100DaysOfCode Oh boy.Did something Ive been wanting to do for a while but have resisted.I started learning Python! Not changing course. this is a side project.This is my first second language and Im excited for that experience.More tomorrow! ,4,,44
Mr.Sense@Sense24_·Jul 22,2023-07-22T00:34:02.000Z,Operation python must die is still very active... . You're welcome,8,103,121
Adarsh Chetan@AdarshChetan·Jul 24,2023-07-24T03:16:22.000Z,Python Development is a highly in-demand and well-paying job in the tech industry. If you're looking to become an excellent Python Developer. here's a roadmap that includes various online resources:A Thread ,31,286,947
Mahesh Vasu@maheshmvasu·20h,2023-07-27T18:51:36.000Z,Over 18 thousand Hindus forcibly converted at the hands of peer hafiz ghulam mohd. Soho alias “BABA SAI” alone till sept 2017 claims PAK TV Channel “news 92”.Over 1774 Hindus in total reportedly converted during 2019-2023Meet the deadliest Peer “BABA SAI”. a Python. who… Show more,1,15,11
,,,,,
Dr. Milan Milanović@milan_milanovic·Jul 27,2023-07-27T06:04:28.000Z,𝗗𝗲𝘃𝗢𝗽𝘀 𝗮𝘀 𝗮 𝗕𝘂𝗿𝗴𝗲𝗿 (𝗗𝗮𝗮𝗕)What should the DevOps engineer roadmap look like:𝟭. 𝗟𝗲𝗮𝗿𝗻 𝗮 𝗽𝗿𝗼𝗴𝗿𝗮𝗺𝗺𝗶𝗻𝗴 𝗹𝗮𝗻𝗴𝘂𝗮𝗴𝗲 (Python. Go. ...) to write automation scripts𝟮. 𝗠𝗮𝘀𝘁𝗲𝗿 𝗼𝗻𝗲 𝗼𝗽𝗲𝗿𝗮𝘁𝗶𝗻𝗴 𝘀𝘆𝘀𝘁𝗲𝗺 (Linux) and its… Show more,57,"1,198",5385
Python Space@python_spaces·Jul 27,2023-07-27T12:20:09.000Z,Microsoft is offering Data Science for Beginners course for FREE!This course all the necessary fundamentals of Data Science and Deep Learning. Course link ,1,230,843
Michael Warburton@MichaelWarbur17·Jul 23,2023-07-23T08:56:21.000Z,“I told you. We're an anarcho-syndicalist commune.”MONTY PYTHON AND THE HOLY GRAIL (1975) #GrahamChapman #MichaelPalin #TerryJones,11,88,352
James Wagner@James_Wagner_·8h,2023-07-28T06:56:03.000Z,Day 208 of #100DaysOfCode Oh boy.Did something Ive been wanting to do for a while but have resisted.I started learning Python! Not changing course. this is a side project.This is my first second language and Im excited for that experience.More tomorrow! ,4,,44
Mr.Sense@Sense24_·Jul 22,2023-07-22T00:34:02.000Z,Operation python must die is still very active... . You're welcome,8,103,121
Adarsh Chetan@AdarshChetan·Jul 24,2023-07-24T03:16:22.000Z,Python Development is a highly in-demand and well-paying job in the tech industry. If you're looking to become an excellent Python Developer. here's a roadmap that includes various online resources:A Thread ,31,286,947
Mahesh Vasu@maheshmvasu·20h,2023-07-27T18:51:36.000Z,Over 18 thousand Hindus forcibly converted at the hands of peer hafiz ghulam mohd. Soho alias “BABA SAI” alone till sept 2017 claims PAK TV Channel “news 92”.Over 1774 Hindus in total reportedly converted during 2019-2023Meet the deadliest Peer “BABA SAI”. a Python. who… Show more,1,15,11
Dave Gray @yesdavidgray·Jul 26,2023-07-26T18:25:10.000Z,New video:  Python for Beginners full course  - nearly 9 hours and 23 chapters to take you through the fundamentals of programming with Python: https://youtu.be/H2EJuAcrZYU#python #100DaysOfCode #CodeNewbie #code #webdev #programming,7,57,229
Eric Johnson@edjgeek·19h,2023-07-27T19:58:48.000Z,Happy Thursday! #AWSLambda now supports Python 3.11!,3,55,144
Python Developer@Python_Dv·23h,2023-07-27T15:57:28.000Z,Build an API in Python in Just 12 Minutes#python,5,145,499
Ssecar The Snek Mum@SsecarThePython·Jul 27,2023-07-27T06:51:46.000Z,My high ass drew a cute Kaa faceNow he's spotted a new guest. and he's only thinking of the best way to greet them...,7,21,96
A canary in a coal mine@nashohmy·Jul 24,2023-07-24T09:20:12.000Z,Kuna mtu amesema 70% of the people in that panel think Python is a snake ,19,198,607
Michael Warburton@MichaelWarbur17·Jul 22,2023-07-22T19:07:49.000Z,“Alright. we’ll call it a draw.”MONTY PYTHON AND THE HOLY GRAIL (1975)#JohnCleese #GrahamChapman,40,361,1814
NEAR Protocol@NEARProtocol,,Set up your SCUBA equipment because we're about to take a dive into some of the I N C R E D I B L E projects building on #NEAR's Blockchain Operating System Remember. #NEARistheBOS,281,930,9020
tut_ml@tut_ml·12h,2023-07-28T03:09:59.000Z,Learn SQL for Data Analytics using these Courses- https://mltut.com/best-advanced-sql-courses/…#MachineLearning #100DaysOfCode #IoT #100DaysOfMLCode #Python #javascript #Serverless #womenwhocode #cybersecurity #RStats #CodeNewbie #DataScience #DEVCommunity #BigData #Analytics #pythonprogramming #SQL,1,18,52
Swamp Crocs NFT|| Python Collection Soon@swampcrocs_nft·Jul 26,2023-07-26T13:50:29.000Z,Gm to those of you who are still hanging around here like warriors.,4,5,17
Malk@3m4lk·Jul 26,2023-07-26T17:18:59.000Z,i wanna create a roguelike in pure python,1,2,13
TheCyberChef| Cybersecurity | Educator@IamTheCyberChef·Jul 24,2023-07-24T21:33:38.000Z,Your first entry-level job as a beginner in CYBERSECURITY CertNetwork+Basic SkillsPython. Linux. Packet Analysis. Active Directory ApplyTech Support. Network/Systems AdministratorGain +6months experienceGet Security+. CySA+ OR BTL1Finally. apply for security roles,6,190,834
Python Programming@PythonPr·11h,2023-07-28T03:30:00.000Z,Convert Text to Audiobooks using Python#python,,71,222
Smiffy_21   @Project21python·28m,2023-07-28T14:53:39.000Z,…… same. #APESNEVERLEAVING,,1,6
Muzzammil@DevMuzzammil·8h,2023-07-28T06:57:25.000Z,Free resources for programmers:SQL - SQLbolt .comHTML - w3schools .comAPI - rapidapi .com/learnCSS - web .dev/learn/cssPython - learnpython .orgReact - react-tutorial .appJavaScript - javascript .infoGit and Github - git-scm .comTailwind CSS - tailwindcss .com,24,74,223
Khuyen Tran@KhuyenTran16·44m,2023-07-28T14:37:29.000Z,If you want to extract specific components of a #SQL statement for downstream #Python tasks. use sqlparse.In the code below. we use sqlparse to create a structured list of tokens representing different parts of the statement. Subsequently. we extract tables from this list.,1,5,16
Khuyen Tran@KhuyenTran16·Jul 27,2023-07-27T14:08:07.000Z,If you want to apply a common piece of functionality to multiple functions while keeping the code clean. use a decorator. Decorator modifies the behavior of your #Python functions without altering the code directly.,5,77,437
Vanja @vanjajaja1·Jul 26,2023-07-26T10:51:22.000Z,typical python quick start ,1,1,
,,,,,
TheCyberChef| Cybersecurity | Educator@IamTheCyberChef·Jul 24,2023-07-24T21:33:38.000Z,Your first entry-level job as a beginner in CYBERSECURITY CertNetwork+Basic SkillsPython. Linux. Packet Analysis. Active Directory ApplyTech Support. Network/Systems AdministratorGain +6months experienceGet Security+. CySA+ OR BTL1Finally. apply for security roles,6,190,834
Python Programming@PythonPr·11h,2023-07-28T03:30:00.000Z,Convert Text to Audiobooks using Python#python,,71,222
Smiffy_21   @Project21python·28m,2023-07-28T14:53:39.000Z,…… same. #APESNEVERLEAVING,,1,6
Muzzammil@DevMuzzammil·8h,2023-07-28T06:57:25.000Z,Free resources for programmers:SQL - SQLbolt .comHTML - w3schools .comAPI - rapidapi .com/learnCSS - web .dev/learn/cssPython - learnpython .orgReact - react-tutorial .appJavaScript - javascript .infoGit and Github - git-scm .comTailwind CSS - tailwindcss .com,24,74,223
Khuyen Tran@KhuyenTran16·44m,2023-07-28T14:37:29.000Z,If you want to extract specific components of a #SQL statement for downstream #Python tasks. use sqlparse.In the code below. we use sqlparse to create a structured list of tokens representing different parts of the statement. Subsequently. we extract tables from this list.,1,5,16
Khuyen Tran@KhuyenTran16·Jul 27,2023-07-27T14:08:07.000Z,If you want to apply a common piece of functionality to multiple functions while keeping the code clean. use a decorator. Decorator modifies the behavior of your #Python functions without altering the code directly.,5,77,437
Vanja @vanjajaja1·Jul 26,2023-07-26T10:51:22.000Z,typical python quick start ,1,1,
Hasan Toor ✪@hasantoxr·Jul 27,2023-07-27T10:16:53.000Z,Learn for Free: HTML →  Codecademy∟ CSS →  FreeCodeCamp∟ UI/UX  →  Hackdesign∟ JavaScript →  Scrimba∟ Python → Learnpython .org∟ React → Scrimba∟ SQL → w3schools .com/sql∟ Blockchain → Cryptozombies,37,321,979
Benjamin Bennett Alexander@RealBenjizo·Jul 22,2023-07-22T19:05:14.000Z,Python Question;What is the output of this code. and why?,213,142,883
Swapna Kumar Panda@swapnakpanda·2h,2023-07-28T12:46:46.000Z,Free certifications that are fully accepted in the industry:❯ http://freecodecamp.org/learn/- JavaScript. HTML. CSS. Python- Data Science. Machine Learning❯ https://hackerrank.com/skills-verification- Python. Java. JavaScript. Go. C#. R- SQL. CSS. Node.js. REST- React. Angular❯… Show more,6,111,368
Cebaby@CarlYebes·Jul 24,2023-07-24T19:58:15.000Z,Cooked something unique for @MeegosNFT What's your MeeMood for today? Upload a selfie and it will predict what mood you are in today kaggle -  used for finding datasetspython & flask - training the model & API creationnextjs & tailwind - UI / UX design,29,32,131
Shreya Mishra@shreyatalkstech·Jul 27,2023-07-27T14:14:53.000Z,This is how my Python learning is going. If anyone is interested I can send the native to their place itself.,7,2,39
Swapna Kumar Panda@swapnakpanda·Jul 26,2023-07-26T12:01:24.000Z,Best YouTube channels for Data Science❯ Python ➟ Corey Schafer❯ SQL ➟ Joey Blue❯ Data Analyst ➟ AlexTheAnalyst❯ ML. DL ➟ sentdex❯ Mathematics ➟ 3Blue1Brown❯ Statistics ➟ statquest❯ Tableau ➟ Tableau Tim❯ PowerBI ➟ Guy in a Cube❯ MS Excel ➟ ExcelIsFun,27,920,2828
DailyBee@DailyBee3,,It might come as a surprise. but these good ole’ American companies are now Chinese-owned.,3,,3
Joshua@CreeCoder·Jul 22,2023-07-22T20:39:03.000Z,Day 97 of #100DaysOfCode   Code Wars!Language: PythonLevel: 7 kyu Your job is to write a function. which takes three integers a. b. and c as arguments. and returns True if exactly two of of the three integers are positive numbers (greater than zero). and False -… Show more,3,2,85
